Title,Date,Description,PicLink,Category,LiveLink,Tags
Before You Go Art Installation,September 2021,Winner of the $50*000 grand prize! Our team built a 2021 version of a phone booth.  Users can immersively interact with a real phone. The audio has been replaced with a cloud-based dataset of 400+ interviews and clips from around the country. Users can also record their own. Currently being expanded to web and VOIP services.,b4yg.png,backend,https://before-you-go-site.herokuapp.com/dial,RaspberryPi | Python | Google Cloud | Node.js
AI Text To Image,October 2021,An LA-based design firm contracted me to product manage and build an A.I.* based on the famous dall-e machine by Open.ai.  Using a PyTorch and various cloud-based tools* this project is still in development and involves a tech team that spans from California to Barcelona.,dalle.jpg,backend,https://analyticsindiamag.com/wp-content/uploads/2021/01/DALLE_AIM.jpg,PyTorch | Python | Google Cloud
Planes Logistics ERP,July 2021,Planes handles global shipping and logistics and pulls from over 70*000 unique vendors and shippers across dozens of warehouses.  The team has contracted me to build a new ERP-related service that essentially allows shipment tracking throughout their system. This was a full-stack project and required SQL knowledge* ORMs and a very strong knowledge of React.js,planes.gif,frontend,,Prisma | SQL | React | Express.js | REST | JWT
Realtime Messaging App,October 2020,Exhibitors at a virtual event wanted a way to communicate with one another.  We solved this by creating a real time chat application where attendees can ask questions and conversations can happen in real time.,firebase.gif,backend,https://millsjameseventcms-testing.uc.r.appspot.com/OSU-Biannual-Clinicians-Well-Being-Summit/exhibitors/560,firebase | gooogle api | drive
Realtime Donation Tracker,December 2020,For a live event* the client wanted to get second-by-second information for donation data coming in.  By using SSE protocols* I worked with the team to build a react app that tracks donations.  We raised over $4 Million!,tracker.gif,frontend,https://secure-temple-19626.herokuapp.com/site,express | websockets | react
Glassroom eCommerce Site,September 2020,An art studio was looking to leverage their existing business and create a website built on top of the powerful Shopify API to create a fast* app-like site that is interactive and feature-rich.  We were really happy with the result.,glassroom.gif,frontend,https://glassroomart.com,gatsby.js | react | CI | eCommerce
Cleanlites Order Form,May 2020,This is a very complex order form that does not transfer easily to a computer setting.  In line with helping the company integrate with their CRM software* we worked to make this order form accessible and extensible.,cleanlitesorder.gif,backend,http://www.cleanlites.com/order,Javascript | React | REST | PHP 
Covid-19 Data Viz,April 2020,Since the outbreak of Covid-19 NY magazine has been tracking sentiment. Using a combination of node.js* a little Python and mostly vanilla javascript* we vizualized the data in compelling ways. ,covid19.gif,frontend,http://www.albertsigman.com/visualization-project-001/index.html,Javascript | Python | d3.js
Lighting Style Quiz,January 2020,This quiz was made for an application I am working on that brings lighting designers to your house without needing in-person consultations.  ,quiz.gif,frontend,http://www.albertsigman.com/digital-playground/style-quiz/,Python | Django | Javascript | jQuery
Sleepy Bee Menu,May 2020,Restaurant owners wanted an interactive way to engage with their menu especially during Covid-19* where physical menus are out of the question.  They can update the menu anytime through a live back end.,sbmenu.gif,frontend,www.sleepybee.com/menu,Javascript | d3.js | PHP | CSS
JS Drum Machine,Februay 2020,I am trying to learn everything there is to know about the Javascript engine.  Part of this was having some fun with the audio buffer.,drumkit.gif,music,http://www.albertsigman.com/digital-playground/drum-machine/,Javascript | Music
Flashcard Study App,April 2020,This was a capstone project for my tech bootcamp.  We made an interactive game that builds and stores study decks and cards.,cards.gif,other,http://random-access-cards.herokuapp.com/,Java | Javascript | REST | HTML/CSS
